cpv_supp_id;cpv_order;cpv_name_bg;cpv_name_cs;cpv_name_da;cpv_name_de;cpv_name_el;cpv_name_en;cpv_name_es;cpv_name_et;cpv_name_fi;cpv_name_fr;cpv_name_ga;cpv_name_hr;cpv_name_hu;cpv_name_it;cpv_name_lt;cpv_name_lv;cpv_name_mt;cpv_name_nl;cpv_name_pl;cpv_name_pt;cpv_name_ro;cpv_name_sk;cpv_name_sl;cpv_name_sv
"AA01-1";"1";"Метал";"Kov";"Metal";"Metall";"Μέταλλο";"Metal";"Metal";"Metall";"Metalli";"Métal";"Metal";"Metal";"Fém";"Metallo";"Metalas";"Metāls";"Metall";"Metaal";"Metal";"Metal";"Metal";"Kov";"Kovina";"Metaller"
"AA02-4";"2";"Алуминий";"Hliník";"Aluminium";"Aluminium";"Αλουμίνιο";"Aluminium";"Aluminio";"Alumiinium";"Alumiini";"Aluminium";"Aluminium";"Aluminij";"Alumínium";"Alluminio";"Aliuminis";"Alumīnijs";"Aluminju";"Aluminium";"Aluminium";"Alumínio";"Aluminiu";"Hliník";"Aluminij";"Aluminium"
"AA03-7";"3";"Бронз";"Bronz";"Bronze";"Bronze";"Μπρούντζος";"Bronze";"Bronce";"Pronks";"Pronssi";"Bronze";"Bronze";"Bronca";"Bronz";"Bronzo";"Bronza";"Bronza";"Bronż";"Brons";"Brąz";"Bronze";"Bronz";"Bronz";"Bron";"Brons"
"AA04-0";"4";"Мед";"Měď";"Kobber";"Kupfer";"Χαλκός";"Copper";"Cobre";"Vask";"Kupari";"Cuivre";"Copper";"Bakar";"Vörösréz";"Rame";"Varis";"Varš";"Ram";"Koper";"Miedź";"Cobre";"Cupru";"Meď";"Baker";"Koppar"
"AA05-3";"5";"Желязо";"Železo";"Jern";"Eisen";"Σίδηρος";"Iron";"Hierro";"Raud";"Rauta";"Fer";"Iron";"Željezo";"Vas";"Ferro";"Geležis";"Dzelzs";"Ħadid";"IJzer";"Żelazo";"Ferro";"Fier";"Železo";"Železo";"Järn"
"AA06-6";"6";"Олово";"Olovo";"Bly";"Blei";"Μόλυβδος";"Lead";"Plomo";"Plii";"Lyijy";"Plomb";"Lead";"Olovo";"Ólom";"Piombo";"Švinas";"Svins";"Ċomb";"Lood";"Ołów";"Chumbo";"Plumb";"Olovo";"Svinec";"Bly"
"AA07-9";"7";"Никел";"Nikl";"Nikkel";"Nickel";"Νικέλιο";"Nickel";"Níquel";"Nikkel";"Nikkeli";"Nickel";"Nickel";"Nikal";"Nikkel";"Nickel";"Nikelis";"Niķelis";"Nikil";"Nikkel";"Nikiel";"Níquel";"Nichel";"Nikel";"Nikelj";"Nickel"
"AA08-2";"8";"Калай";"Cín";"Tin";"Zinn";"Κασσίτερος";"Tin";"Estaño";"Tina";"Tina";"Étain";"Tin";"Kositar";"Ón";"Stagno";"Alavas";"Alva";"Landa";"Tin";"Cyna";"Estanho";"Staniu";"Cín";"Kositer";"Tenn"
"AA09-5";"9";"Цинк";"Zinek";"Zink";"Zink";"Ψευδάργυρος";"Zinc";"Zinc";"Tsink";"Sinkki";"Zinc";"Zinc";"Cink";"Cink";"Zinco";"Cinkas";"Cinks";"Żingu";"Zink";"Cynk";"Zinco";"Zinc";"Zinok";"Cink";"Zink"
"AA10-8";"10";"Сплав";"Slitiny";"Legering";"Legierungen";"Κράμα";"Alloy";"Aleación";"Sulam";"Seos";"Alliage";"Alloy";"Slitina";"Ötvözet";"Lega";"Lydinys";"Sakausējums";"Liega";"Legering";"Stop";"Ligas";"Aliaj";"Zliatina";"Zlitina";"Legeringar"
"AA11-1";"11";"Стомана";"Ocel";"Stål";"Stahl";"Χάλυβας";"Steel";"Acero";"Teras";"Teräs";"Acier";"Steel";"Čelik";"Acél";"Acciaio";"Plienas";"Tērauds";"Azzar";"Staal";"Stal";"Aço";"Oţel";"Oceľ";"Jeklo";"Stål"
"AA12-4";"12";"Въглеродна стомана";"Uhlíková ocel";"Kulstofstål";"Kohlenstoffstahl";"Ανθρακοχάλυβας";"Carbon-steel";"Acero al carbono";"Legeerimata teras";"Hiiliteräs";"Acier au carbone";"Carbon-steel";"Ugljični čelik";"Szénacél";"Acciaio al carbonio";"Anglinis plienas";"Oglekļa tērauds";"Azzar-karbonju";"Koolstofstaal";"Stal węglowa";"Aço-carbono";"Oţel carbon";"Uhlíková oceľ";"Ogljikovo jeklo";"Kolstål"
"AA13-7";"13";"Ванадий";"Vanad";"Vanadium";"Vanadium";"Βανάδιο";"Vanadium";"Vanadio";"Vanaadium";"Vanadiini";"Vanadium";"Vanadium";"Vanadij";"Vanádium";"Vanadio";"Vanadis";"Vanādijs";"Vanadju";"Vanadium";"Wanad";"Vanádio";"Vanadiu";"Vanád";"Vanadij";"Vanadin"
"AA14-0";"14";"Хром";"Chrom";"Chrom";"Chrom";"Χρώμιο";"Chromium";"Cromo";"Kroom";"Kromi";"Chrome";"Chromium";"Krom";"Króm";"Cromo";"Chromas";"Hroms";"Kromju";"Chroom";"Chrom";"Crómio";"Crom";"Chróm";"Krom";"Krom"
"AA15-3";"15";"Манган";"Mangan";"Mangan";"Mangan";"Μαγγάνιο";"Manganese";"Manganeso";"Mangaan";"Mangaani";"Manganèse";"Manganese";"Mangan";"Mangán";"Manganese";"Manganas";"Mangāns";"Manganiż";"Mangaan";"Mangan";"Manganésio";"Mangan";"Mangán";"Mangan";"Mangan"
"AA16-6";"16";"Кобалт";"Kobalt";"Kobolt";"Cobalt";"Κοβάλτιο";"Cobalt";"Cobalto";"Koobalt";"Koboltti";"Cobalt";"Cobalt";"Kobalt";"Kobalt";"Cobalto";"Kobaltas";"Kobalts";"Kobalt";"Kobalt";"Kobalt";"Cobalto";"Cobalt";"Kobalt";"Kobalt";"Kobolt"
"AA17-9";"17";"Итрий";"Yttrium";"Yttrium";"Yttrium";"Ύττριο";"Yttrium";"Itrio";"Ütrium";"Yttrium";"Yttrium";"Yttrium";"Itrij";"Ittrium";"Ittrio";"Itris";"Itrijs";"Ittriju";"Yttrium";"Itr";"Ítrio";"Ytriu";"Ytrium";"Itrij";"Yttrium"
"AA18-2";"18";"Цирконий";"Zirkon";"Zirconium";"Zirconium";"Ζιρκόνιο";"Zirconium";"Circonio";"Tsirkoonium";"Zirkonium";"Zirconium";"Zirconium";"Cirkonij";"Cirkónium";"Zirconio";"Cirkonis";"Cirkonijs";"Żirkonju";"Zirkonium";"Cyrkon";"Zircónio";"Zirconiu";"Zirkón";"Cirkonij";"Zirkonium"
"AA19-5";"19";"Молибден";"Molybden";"Molybdæn";"Molybdän";"Μολυβδαίνιο";"Molybdenum";"Molibdeno";"Molübdeen";"Molybdeeni";"Molybdène";"Molybdenum";"Molibden";"Molibdén";"Molibdeno";"Molibdenas";"Molibdēns";"Molibdenu";"Molybdeen";"Molibden";"Molibdénio";"Molibden";"Molybdén";"Molibden";"Molybden"
"AA20-8";"20";"Технеций";"Technecium";"Technetium";"Technetium";"Τεχνήτιο";"Technetium";"Tecnecio";"Tehneetsium";"Teknetium";"Technétium";"Technetium";"Tehnecij";"Technécium";"Tecnezio";"Technecis";"Tehnēcijs";"Teknetju";"Technetium";"Technet";"Tecnécio";"Techneţiu";"Technécium";"Tehnecij";"Teknetium"
"AA21-1";"21";"Рутений";"Ruthenium";"Ruthenium";"Ruthenium";"Ρουθήνιο";"Ruthenium";"Rutenio";"Ruteenium";"Rutenium";"Ruthenium";"Ruthenium";"Rutenij";"Ruténium";"Rutenio";"Rutenis";"Rutēnijs";"Rutenju";"Ruthenium";"Ruten";"Ruténio";"Ruteniu";"Ruténium";"Rutenij";"Rutenium"
"AA22-4";"22";"Родий";"Rhodium";"Rhodium";"Rhodium";"Ρόδιο";"Rhodium";"Rodio";"Roodium";"Rodium";"Rhodium";"Rhodium";"Rodij";"Ródium";"Rodio";"Rodis";"Rodijs";"Rodju";"Rodium";"Rod";"Ródio";"Rodiu";"Ródium";"Rodij";"Rodium"
"AA23-7";"23";"Кадмий";"Kadmium";"Cadmium";"Cadmium";"Κάδμιο";"Cadmium";"Cadmio";"Kaadmium";"Kadmium";"Cadmium";"Cadmium";"Kadmij";"Kadmium";"Cadmio";"Kadmis";"Kadmijs";"Kadmju";"Cadmium";"Kadm";"Cádmio";"Cadmiu";"Kadmium";"Kadmij";"Kadmium"
"AA24-0";"24";"Лутеций";"Lutecium";"Lutetium";"Lutetium";"Λουτήτιο";"Lutetium";"Lutecio";"Luteetsium";"Lutetium";"Lutétium";"Lutetium";"Lutecij";"Lutécium";"Lutezio";"Liutecis";"Lutēcijs";"Lutezju";"Lutetium";"Lutet";"Lutécio";"Luteţiu";"Lutécium";"Lutecij";"Lutetium"
"AA25-3";"25";"Хафний";"Hafnium";"Hafnium";"Hafnium";"Χάφνιο";"Hafnium";"Hafnio";"Hafnium";"Hafnium";"Hafnium";"Hafnium";"Hafnij";"Hafnium";"Afnio";"Hafnis";"Hafnijs";"Ħafnju";"Hafnium";"Hafn";"Háfnio";"Hafniu";"Hafnium";"Hafnij";"Hafnium"
"AA26-6";"26";"Тантал";"Tantal";"Tantal";"Tantal";"Ταντάλιο";"Tantalum";"Tantalio";"Tantaal";"Tantaali";"Tantale";"Tantalum";"Tantal";"Tantál";"Tantalio";"Tantalas";"Tantals";"Tantalu";"Tantaal";"Tantal";"Tântalo";"Tantal";"Tantal";"Tantal";"Tantal"
"AA27-9";"27";"Волфрам";"Wolfram";"Wolfram";"Wolfram";"Βολφράμιο";"Tungsten";"Wolframio";"Volfram";"Wolframi";"Tungstène";"Tungsten";"Volfram";"Volfrám";"Tungsteno";"Volframas";"Volframs";"Tangstin";"Wolfraam";"Wolfram";"Tungsténio";"Tungsten";"Volfrám";"Volfram";"Volfram"
"AA28-2";"28";"Иридий";"Iridium";"Iridium";"Iridium";"Ιρίδο";"Iridium";"Iridio";"Iriidium";"Iridium";"Iridium";"Iridium";"Iridij";"Irídium";"Iridio";"Iridis";"Irīdijs";"Iridju";"Iridium";"Iryd";"Irídio";"Iridiu";"Irídium";"Iridij";"Iridium"
"AA29-5";"29";"Галий";"Gallium";"Gallium";"Gallium";"Γάλλιο";"Gallium";"Galio";"Gallium";"Gallium";"Gallium";"Gallium";"Galij";"Gallium";"Gallio";"Galis";"Gallijs";"Gallju";"Gallium";"Gal";"Gálio";"Galiu";"Gálium";"Galij";"Gallium"
