iae_code;iae_name
"1.612.3";"Venta al por mayor de frutas y verduras, patatas, legumbres frescas"
"1.612.4";"Venta al por mayor de carnes, huevos, aves y caza"
"1.612.5";"Venta al por mayor de leche, productos lácteos, miel, aceites y grasas"
"1.612.6";"Venta al por mayor de bebidas y tabaco"
"1.612.7";"Venta al por mayor de vinos y vinagres del país"
"1.612.8";"Venta al por mayor de pescados y otros productos de pesca y acuicultura"
"1.612.9";"Venta al por mayor de otros productos alimenticios, helados de todas clases"
"1.613.1";"Venta al por mayor de productos textiles, confección calzado y artículos cuero"
"1.613.2";"Venta al por mayor de tejidos por metros textiles para el hogar, alfombras"
"1.613.3";"Venta al por mayor de prendas exteriores de vestir"
"1.613.4";"Venta al por mayor de calzado, peletería, artículos de cuero, marroquinería"
"1.613.5";"Venta al por mayor de camisería, lencéría, mercería y géneros de punto"
"1.613.9";"Venta al por mayor de accesorios del vestido y otros productos textiles"
"1.614.1";"Venta al por mayor de productos farmacéuticos y medicamentos"
"1.614.2";"Venta al por mayor de productos de perfumería, droguería, higiene y belleza"
"1.614.3";"Venta al por mayor de productos para el mantenimiento y funcionamiento del hogar"
"1.614.4";"Venta al por mayor de productos zoosanitarios"
"1.615.1";"Venta al por mayor de vehículos, motocicletas, bicicletas y sus accesorios"
"1.615.2";"Venta al por mayor de muebles"
"1.615.3";"Venta al por mayor de aparatos electrodomésticos y ferretería"
"1.615.4";"Venta al por mayor de aparatos y material radioeléctrico y electrónico"
"1.615.5";"Venta al por mayor de obras de arte y antigüedades"
"1.615.6";"Galerías de arte"
"1.615.9";"Venta al por mayor de otros artículos de consumo duradero n.c.o.p"
"1.616.1";"Venta al por mayor de carbón"
"1.616.2";"Venta al por mayor de hierro y acero"
"1.616.3";"Venta al por mayor de minerales"
"1.616.4";"Venta al por mayor de metales no férreos en bruto y productos semielaborados"
"1.616.5";"Venta al por mayor de petróleo y lubricantes"
"1.616.6";"Venta al por mayor de productos químicos industriales"
"1.616.9";"Otro comercio al por mayor interindustria de la minería n.c.o.p"
"1.617.1";"Venta al por mayor de fibras textiles brutas y productos semielaborados"
"1.617.2";"Venta al por mayor de cueros y pieles en bruto"
"1.617.3";"Venta al por mayor de madera y corcho"
"1.617.4";"Venta al por mayor de materiales de construcción, vidrio y artículos instalación"
"1.617.5";"Venta al por mayor de maquinaria para la madera y el metal"
"1.617.6";"Venta al por mayor de maquinaria agrícola"
"1.617.7";"Venta al por mayor de maquinaria textil"
"1.617.8";"Venta al por mayor de máquinas y material de oficina"
"1.617.9";"Venta al por mayor interindustrial de otros productos n.c.o.p"
