group_type;group_code;subgroup_code;group_name;subgroup_name
"OBRAS";"A";"01";"MOVIMIENTO DE TIERRAS Y PERFORACIONES";"DESMONTES Y VACIADOS"
"OBRAS";"A";"02";"MOVIMIENTO DE TIERRAS Y PERFORACIONES";"EXPLANACIONES"
"OBRAS";"A";"03";"MOVIMIENTO DE TIERRAS Y PERFORACIONES";"CANTERAS"
"OBRAS";"A";"04";"MOVIMIENTO DE TIERRAS Y PERFORACIONES";"POZOS Y GALERIAS"
"OBRAS";"A";"05";"MOVIMIENTO DE TIERRAS Y PERFORACIONES";"TUNELES"
"OBRAS";"B";"01";"PUENTES, VIADUCTOS Y GRANDES ESTRUCTURAS";"DE FABRICA U HORMIGON EN MASA"
"OBRAS";"B";"02";"PUENTES, VIADUCTOS Y GRANDES ESTRUCTURAS";"DE HORMIGON ARMADO"
"OBRAS";"B";"03";"PUENTES, VIADUCTOS Y GRANDES ESTRUCTURAS";"DE HORMIGON PRETENSADO"
"OBRAS";"B";"04";"PUENTES, VIADUCTOS Y GRANDES ESTRUCTURAS";"METALICOS"
"OBRAS";"C";"01";"EDIFICACIONES";"DEMOLICIONES"
"OBRAS";"C";"02";"EDIFICACIONES";"ESTRUCTURAS DE FABRICA U HORMIGÓN"
"OBRAS";"C";"03";"EDIFICACIONES";"ESTRUCTURAS METALICAS"
"OBRAS";"C";"04";"EDIFICACIONES";"ALBAÑILERIA, REVOCOS Y REVESTIDOS"
"OBRAS";"C";"05";"EDIFICACIONES";"CANTERIA Y MARMOLERIA"
"OBRAS";"C";"06";"EDIFICACIONES";"PAVIMENTOS, SOLADOS Y ALICATADOS"
"OBRAS";"C";"07";"EDIFICACIONES";"AISLAMIENTOS E IMPERMEABILIZACIONES"
"OBRAS";"C";"08";"EDIFICACIONES";"CARPINTERIA DE MADERA"
"OBRAS";"C";"09";"EDIFICACIONES";"CARPINTERIA METALICA"
"OBRAS";"D";"01";"FERROCARRILES";"TENDIDO DE VIAS"
"OBRAS";"D";"02";"FERROCARRILES";"ELEVADOS SOBRE CARRIL O CABLE"
"OBRAS";"D";"03";"FERROCARRILES";"SEÑALIZACIONES Y ENCLAVAMIENTOS"
"OBRAS";"D";"04";"FERROCARRILES";"ELECTRIFICACION DE FERROCARRILES"
"OBRAS";"D";"05";"FERROCARRILES";"OBRAS DE FERROCARRILES SIN CUALIFICACION ESPECIFICA"
"OBRAS";"E";"01";"HIDRÁULICAS";"ABASTECIMIENTOS Y SANEAMIENTOS"
"OBRAS";"E";"02";"HIDRÁULICAS";"PRESAS"
"OBRAS";"E";"03";"HIDRÁULICAS";"CANALES"
"OBRAS";"E";"04";"HIDRÁULICAS";"ACEQUIAS Y DESAGÜES"
"OBRAS";"E";"05";"HIDRÁULICAS";"DEFENSAS DE MARGENES Y ENCAUZAMIENTOS"
"OBRAS";"E";"06";"HIDRÁULICAS";"CONDUCCIONES CON TUBERÍA DE PRESIÓN DE GRAN DIAMETRO"
"OBRAS";"E";"07";"HIDRÁULICAS";"OBRAS HIDRAULICAS SIN CUALIFICACION ESPECIFICA"
"OBRAS";"F";"01";"MARÍTIMAS";"DRAGADOS"
"OBRAS";"F";"02";"MARÍTIMAS";"ESCOLLERAS"
"OBRAS";"F";"03";"MARÍTIMAS";"CON BLOQUES DE HORMIGÓN"
"OBRAS";"F";"04";"MARÍTIMAS";"CON CAJONES DE HORMIGÓN ARMADO"
"OBRAS";"F";"05";"MARÍTIMAS";"CON PILOTES Y TABLESTACAS"
"OBRAS";"F";"06";"MARÍTIMAS";"FAROS, RADIOFAROS Y SEÑALIZACIONES MARÍTIMAS"
"OBRAS";"F";"07";"MARÍTIMAS";"OBRAS MARÍTIMAS SIN CUALIFICACIÓN ESPECÍFICA"
"OBRAS";"F";"08";"MARÍTIMAS";"EMISARIOS SUBMARINOS"
"OBRAS";"G";"01";"VIALES Y PISTAS";"AUTOPISTAS, AUTOVÍAS"
"OBRAS";"G";"02";"VIALES Y PISTAS";"PISTAS DE ATERRIZAJE"
"OBRAS";"G";"03";"VIALES Y PISTAS";"CON FIRMES DE HORMIGÓN HIDRAÚLICO"
"OBRAS";"G";"04";"VIALES Y PISTAS";"CON FIRMES DE MEZCLAS BITUMINOSAS"
