nuts_id;nuts_region_order;nuts_country_order;nuts_level;nuts_country_official;nuts_1_official;nuts_2_official;nuts_3_official;nuts_country_latin;nuts_1_latin;nuts_2_latin;nuts_3_latin
"BE1";"2";"1";"1";"Belgique/België";"Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest";"-";"-";"Belgique/België";"Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest";"-";"-"
"BE2";"5";"1";"1";"Belgique/België";"Vlaams Gewest";"-";"-";"Belgique/België";"Vlaams Gewest";"-";"-"
"BE3";"33";"1";"1";"Belgique/België";"Région wallonne";"-";"-";"Belgique/België";"Région wallonne";"-";"-"
"BEZ";"60";"1";"1";"Belgique/België";"Extra-Regio NUTS 1";"-";"-";"Belgique/België";"Extra-Regio NUTS 1";"-";"-"
"BG3";"64";"2";"1";"България";"Северна и Югоизточна България";"-";"-";"Bulgaria";"Severna i Yugoiztochna Bulgaria";"-";"-"
"BG4";"87";"2";"1";"България";"Югозападна и Южна централна България";"-";"-";"Bulgaria";"Yugozapadna i Yuzhna tsentralna Bulgaria";"-";"-"
"BGZ";"100";"2";"1";"България";"Extra-Regio NUTS 1";"-";"-";"Bulgaria";"Extra-Regio NUTS 1";"-";"-"
"CZ0";"104";"3";"1";"Česko";"Česko";"-";"-";"Česko";"Česko";"-";"-"
"CZZ";"127";"3";"1";"Česko";"Extra-Regio NUTS 1";"-";"-";"Česko";"Extra-Regio NUTS 1";"-";"-"
"DK0";"131";"4";"1";"Danmark";"Danmark";"-";"-";"Danmark";"Danmark";"-";"-"
"DKZ";"148";"4";"1";"Danmark";"Extra-Regio NUTS 1";"-";"-";"Danmark";"Extra-Regio NUTS 1";"-";"-"
"DE1";"152";"5";"1";"Deutschland";"Baden-Württemberg";"-";"-";"Deutschland";"Baden-Württemberg";"-";"-"
"DE2";"201";"5";"1";"Deutschland";"Bayern";"-";"-";"Deutschland";"Bayern";"-";"-"
"DE3";"305";"5";"1";"Deutschland";"Berlin";"-";"-";"Deutschland";"Berlin";"-";"-"
"DE4";"308";"5";"1";"Deutschland";"Brandenburg";"-";"-";"Deutschland";"Brandenburg";"-";"-"
"DE5";"328";"5";"1";"Deutschland";"Bremen";"-";"-";"Deutschland";"Bremen";"-";"-"
"DE6";"332";"5";"1";"Deutschland";"Hamburg";"-";"-";"Deutschland";"Hamburg";"-";"-"
"DE7";"335";"5";"1";"Deutschland";"Hessen";"-";"-";"Deutschland";"Hessen";"-";"-"
"DE8";"365";"5";"1";"Deutschland";"Mecklenburg-Vorpommern";"-";"-";"Deutschland";"Mecklenburg-Vorpommern";"-";"-"
"DE9";"375";"5";"1";"Deutschland";"Niedersachsen";"-";"-";"Deutschland";"Niedersachsen";"-";"-"
"DEA";"425";"5";"1";"Deutschland";"Nordrhein-Westfalen";"-";"-";"Deutschland";"Nordrhein-Westfalen";"-";"-"
"DEB";"484";"5";"1";"Deutschland";"Rheinland-Pfalz";"-";"-";"Deutschland";"Rheinland-Pfalz";"-";"-"
"DEC";"524";"5";"1";"Deutschland";"Saarland";"-";"-";"Deutschland";"Saarland";"-";"-"
"DED";"532";"5";"1";"Deutschland";"Sachsen";"-";"-";"Deutschland";"Sachsen";"-";"-"
"DEE";"549";"5";"1";"Deutschland";"Sachsen-Anhalt";"-";"-";"Deutschland";"Sachsen-Anhalt";"-";"-"
"DEF";"565";"5";"1";"Deutschland";"Schleswig-Holstein";"-";"-";"Deutschland";"Schleswig-Holstein";"-";"-"
"DEG";"582";"5";"1";"Deutschland";"Thüringen";"-";"-";"Deutschland";"Thüringen";"-";"-"
"DEZ";"607";"5";"1";"Deutschland";"Extra-Regio NUTS 1";"-";"-";"Deutschland";"Extra-Regio NUTS 1";"-";"-"
"EE0";"611";"6";"1";"Eesti";"Eesti";"-";"-";"Eesti";"Eesti";"-";"-"
"EEZ";"618";"6";"1";"Eesti";"Extra-Regio NUTS 1";"-";"-";"Eesti";"Extra-Regio NUTS 1";"-";"-"
"IE0";"622";"7";"1";"Éire/Ireland";"Ireland";"-";"-";"Éire/Ireland";"Ireland";"-";"-"
"IEZ";"634";"7";"1";"Éire/Ireland";"Extra-Regio NUTS 1";"-";"-";"Éire/Ireland";"Extra-Regio NUTS 1";"-";"-"
"EL3";"638";"8";"1";"Ελλάδα";"Αττική";"-";"-";"Elláda";"Attiki";"-";"-"
"EL4";"647";"8";"1";"Ελλάδα";"Νησιά Αιγαίου, Κρήτη";"-";"-";"Elláda";"Nisia Aigaiou, Kriti";"-";"-"
"EL5";"660";"8";"1";"Ελλάδα";"Βόρεια Ελλάδα";"-";"-";"Elláda";"Voreia Elláda";"-";"-"
"EL6";"683";"8";"1";"Ελλάδα";"Κεντρική Ελλάδα";"-";"-";"Elláda";"Kentriki Elláda";"-";"-"
"ELZ";"707";"8";"1";"Ελλάδα";"Extra-Regio NUTS 1";"-";"-";"Elláda";"Extra-Regio NUTS 1";"-";"-"
"ES1";"711";"9";"1";"España";"Noroeste";"-";"-";"España";"Noroeste";"-";"-"
"ES2";"721";"9";"1";"España";"Noreste";"-";"-";"España";"Noreste";"-";"-"
"ES3";"734";"9";"1";"España";"Comunidad de Madrid";"-";"-";"España";"Comunidad de Madrid";"-";"-"
"ES4";"737";"9";"1";"España";"Centro (ES)";"-";"-";"España";"Centro (ES)";"-";"-"
"ES5";"757";"9";"1";"España";"Este";"-";"-";"España";"Este";"-";"-"
"ES6";"771";"9";"1";"España";"Sur";"-";"-";"España";"Sur";"-";"-"
"ES7";"787";"9";"1";"España";"Canarias";"-";"-";"España";"Canarias";"-";"-"
"ESZ";"796";"9";"1";"España";"Extra-Regio NUTS 1";"-";"-";"España";"Extra-Regio NUTS 1";"-";"-"
"FR1";"800";"10";"1";"France";"Ile-de-France";"-";"-";"France";"Ile-de-France";"-";"-"
"FRB";"810";"10";"1";"France";"Centre — Val de Loire";"-";"-";"France";"Centre — Val de Loire";"-";"-"
"FRC";"818";"10";"1";"France";"Bourgogne-Franche-Comté";"-";"-";"France";"Bourgogne-Franche-Comté";"-";"-"
"FRD";"829";"10";"1";"France";"Normandie";"-";"-";"France";"Normandie";"-";"-"
"FRE";"837";"10";"1";"France";"Hauts-de-France";"-";"-";"France";"Hauts-de-France";"-";"-"
"FRF";"845";"10";"1";"France";"Grand Est";"-";"-";"France";"Grand Est";"-";"-"
"FRG";"859";"10";"1";"France";"Pays de la Loire";"-";"-";"France";"Pays de la Loire";"-";"-"
"FRH";"866";"10";"1";"France";"Bretagne";"-";"-";"France";"Bretagne";"-";"-"
"FRI";"872";"10";"1";"France";"Nouvelle-Aquitaine";"-";"-";"France";"Nouvelle-Aquitaine";"-";"-"
"FRJ";"888";"10";"1";"France";"Occitanie";"-";"-";"France";"Occitanie";"-";"-"
"FRK";"904";"10";"1";"France";"Auvergne-Rhône-Alpes";"-";"-";"France";"Auvergne-Rhône-Alpes";"-";"-"
"FRL";"919";"10";"1";"France";"Provence-Alpes-Côte d’Azur";"-";"-";"France";"Provence-Alpes-Côte d’Azur";"-";"-"
"FRM";"927";"10";"1";"France";"Corse";"-";"-";"France";"Corse";"-";"-"
"FRY";"931";"10";"1";"France";"RUP FR — Régions Ultrapériphériques Françaises";"-";"-";"France";"RUP FR — Régions Ultrapériphériques Françaises";"-";"-"
"FRZ";"942";"10";"1";"France";"Extra-Regio NUTS 1";"-";"-";"France";"Extra-Regio NUTS 1";"-";"-"
"HR0";"946";"11";"1";"Hrvatska";"Hrvatska";"-";"-";"Hrvatska";"Hrvatska";"-";"-"
"HRZ";"972";"11";"1";"Hrvatska";"Extra-Regio NUTS 1";"-";"-";"Hrvatska";"Extra-Regio NUTS 1";"-";"-"
"ITC";"976";"12";"1";"Italia";"Nord-Ovest";"-";"-";"Italia";"Nord-Ovest";"-";"-"
"ITF";"1006";"12";"1";"Italia";"Sud";"-";"-";"Italia";"Sud";"-";"-"
"ITG";"1037";"12";"1";"Italia";"Isole";"-";"-";"Italia";"Isole";"-";"-"
"ITH";"1054";"12";"1";"Italia";"Nord-Est";"-";"-";"Italia";"Nord-Est";"-";"-"
"ITI";"1082";"12";"1";"Italia";"Centro (IT)";"-";"-";"Italia";"Centro (IT)";"-";"-"
"ITZ";"1109";"12";"1";"Italia";"Extra-Regio NUTS 1";"-";"-";"Italia";"Extra-Regio NUTS 1";"-";"-"
"CY0";"1113";"13";"1";"Κύπρος";"Κύπρος";"-";"-";"Kýpros";"Kýpros";"-";"-"
"CYZ";"1116";"13";"1";"Κύπρος";"Extra-Regio NUTS 1";"-";"-";"Kýpros";"Extra-Regio NUTS 1";"-";"-"
"LV0";"1120";"14";"1";"Latvija";"Latvija";"-";"-";"Latvija";"Latvija";"-";"-"
"LVZ";"1128";"14";"1";"Latvija";"Extra-Regio NUTS 1";"-";"-";"Latvija";"Extra-Regio NUTS 1";"-";"-"
"LT0";"1132";"15";"1";"Lietuva";"Lietuva";"-";"-";"Lietuva";"Lietuva";"-";"-"
"LTZ";"1145";"15";"1";"Lietuva";"Extra-Regio NUTS 1";"-";"-";"Lietuva";"Extra-Regio NUTS 1";"-";"-"
"LU0";"1149";"16";"1";"Luxembourg";"Luxembourg";"-";"-";"Luxembourg";"Luxembourg";"-";"-"
"LUZ";"1152";"16";"1";"Luxembourg";"Extra-Regio NUTS 1";"-";"-";"Luxembourg";"Extra-Regio NUTS 1";"-";"-"
"HU1";"1156";"17";"1";"Magyarország";"Közép-Magyarország";"-";"-";"Magyarország";"Közép-Magyarország";"-";"-"
"HU2";"1161";"17";"1";"Magyarország";"Dunántúl";"-";"-";"Magyarország";"Dunántúl";"-";"-"
"HU3";"1174";"17";"1";"Magyarország";"Alföld és Észak";"-";"-";"Magyarország";"Alföld és Észak";"-";"-"
"HUZ";"1187";"17";"1";"Magyarország";"Extra-Regio NUTS 1";"-";"-";"Magyarország";"Extra-Regio NUTS 1";"-";"-"
"MT0";"1191";"18";"1";"Malta";"Malta";"-";"-";"Malta";"Malta";"-";"-"
"MTZ";"1195";"18";"1";"Malta";"Extra-Regio NUTS 1";"-";"-";"Malta";"Extra-Regio NUTS 1";"-";"-"
"NL1";"1199";"19";"1";"Nederland";"Noord-Nederland";"-";"-";"Nederland";"Noord-Nederland";"-";"-"
"NL2";"1212";"19";"1";"Nederland";"Oost-Nederland";"-";"-";"Nederland";"Oost-Nederland";"-";"-"
"NL3";"1224";"19";"1";"Nederland";"West-Nederland";"-";"-";"Nederland";"West-Nederland";"-";"-"
"NL4";"1245";"19";"1";"Nederland";"Zuid-Nederland";"-";"-";"Nederland";"Zuid-Nederland";"-";"-"
"NLZ";"1255";"19";"1";"Nederland";"Extra-Regio NUTS 1";"-";"-";"Nederland";"Extra-Regio NUTS 1";"-";"-"
"AT1";"1259";"20";"1";"Österreich";"Ostösterreich";"-";"-";"Österreich";"Ostösterreich";"-";"-"
"AT2";"1274";"20";"1";"Österreich";"Südösterreich";"-";"-";"Österreich";"Südösterreich";"-";"-"
"AT3";"1286";"20";"1";"Österreich";"Westösterreich";"-";"-";"Österreich";"Westösterreich";"-";"-"
"ATZ";"1306";"20";"1";"Österreich";"Extra-Regio NUTS 1";"-";"-";"Österreich";"Extra-Regio NUTS 1";"-";"-"
"PL2";"1310";"21";"1";"Polska";"Makroregion południowy";"-";"-";"Polska";"Makroregion południowy";"-";"-"
"PL4";"1327";"21";"1";"Polska";"Makroregion północno-zachodni";"-";"-";"Polska";"Makroregion północno-zachodni";"-";"-"
"PL5";"1343";"21";"1";"Polska";"Makroregion południowo-zachodni";"-";"-";"Polska";"Makroregion południowo-zachodni";"-";"-"
"PL6";"1353";"21";"1";"Polska";"Makroregion północny";"-";"-";"Polska";"Makroregion północny";"-";"-"
"PL7";"1370";"21";"1";"Polska";"Makroregion centralny";"-";"-";"Polska";"Makroregion centralny";"-";"-"
"PL8";"1380";"21";"1";"Polska";"Makroregion wschodni";"-";"-";"Polska";"Makroregion wschodni";"-";"-"
"PL9";"1395";"21";"1";"Polska";"Makroregion województwo mazowieckie";"-";"-";"Polska";"Makroregion województwo mazowieckie";"-";"-"
"PLZ";"1407";"21";"1";"Polska";"Extra-Regio NUTS 1";"-";"-";"Polska";"Extra-Regio NUTS 1";"-";"-"
"PT1";"1411";"22";"1";"Portugal";"Continente";"-";"-";"Portugal";"Continente";"-";"-"
"PT2";"1440";"22";"1";"Portugal";"Região Autónoma dos Açores";"-";"-";"Portugal";"Região Autónoma dos Açores";"-";"-"
"PT3";"1443";"22";"1";"Portugal";"Região Autónoma da Madeira";"-";"-";"Portugal";"Região Autónoma da Madeira";"-";"-"
"PTZ";"1446";"22";"1";"Portugal";"Extra-Regio NUTS 1";"-";"-";"Portugal";"Extra-Regio NUTS 1";"-";"-"
"RO1";"1450";"23";"1";"România";"Macroregiunea Unu";"-";"-";"România";"Macroregiunea Unu";"-";"-"
"RO2";"1465";"23";"1";"România";"Macroregiunea Doi";"-";"-";"România";"Macroregiunea Doi";"-";"-"
"RO3";"1480";"23";"1";"România";"Macroregiunea Trei";"-";"-";"România";"Macroregiunea Trei";"-";"-"
"RO4";"1492";"23";"1";"România";"Macroregiunea Patru";"-";"-";"România";"Macroregiunea Patru";"-";"-"
"ROZ";"1504";"23";"1";"România";"Extra-Regio NUTS 1";"-";"-";"România";"Extra-Regio NUTS 1";"-";"-"
"SI0";"1508";"24";"1";"Slovenija";"Slovenija";"-";"-";"Slovenija";"Slovenija";"-";"-"
"SIZ";"1523";"24";"1";"Slovenija";"Extra-Regio NUTS 1";"-";"-";"Slovenija";"Extra-Regio NUTS 1";"-";"-"
"SK0";"1527";"25";"1";"Slovensko";"Slovensko";"-";"-";"Slovensko";"Slovensko";"-";"-"
"SKZ";"1540";"25";"1";"Slovensko";"Extra-Regio NUTS 1";"-";"-";"Slovensko";"Extra-Regio NUTS 1";"-";"-"
"FI1";"1544";"26";"1";"Suomi/Finland";"Manner-Suomi";"-";"-";"Suomi/Finland";"Manner-Suomi";"-";"-"
"FI2";"1567";"26";"1";"Suomi/Finland";"Åland";"-";"-";"Suomi/Finland";"Åland";"-";"-"
"FIZ";"1570";"26";"1";"Suomi/Finland";"Extra-Regio NUTS 1";"-";"-";"Suomi/Finland";"Extra-Regio NUTS 1";"-";"-"
"SE1";"1574";"27";"1";"Sverige";"Östra Sverige";"-";"-";"Sverige";"Östra Sverige";"-";"-"
"SE2";"1583";"27";"1";"Sverige";"Södra Sverige";"-";"-";"Sverige";"Södra Sverige";"-";"-"
"SE3";"1595";"27";"1";"Sverige";"Norra Sverige";"-";"-";"Sverige";"Norra Sverige";"-";"-"
"SEZ";"1606";"27";"1";"Sverige";"Extra-Regio NUTS 1";"-";"-";"Sverige";"Extra-Regio NUTS 1";"-";"-"
"UKC";"1610";"28";"1";"United Kingdom";"North East (England)";"-";"-";"United Kingdom";"North East (England)";"-";"-"
"UKD";"1620";"28";"1";"United Kingdom";"North West (England)";"-";"-";"United Kingdom";"North West (England)";"-";"-"
"UKE";"1646";"28";"1";"United Kingdom";"Yorkshire and the Humber";"-";"-";"United Kingdom";"Yorkshire and the Humber";"-";"-"
"UKF";"1662";"28";"1";"United Kingdom";"East Midlands (England)";"-";"-";"United Kingdom";"East Midlands (England)";"-";"-"
"UKG";"1677";"28";"1";"United Kingdom";"West Midlands (England)";"-";"-";"United Kingdom";"West Midlands (England)";"-";"-"
"UKH";"1695";"28";"1";"United Kingdom";"East of England";"-";"-";"United Kingdom";"East of England";"-";"-"
"UKI";"1715";"28";"1";"United Kingdom";"London";"-";"-";"United Kingdom";"London";"-";"-"
"UKJ";"1742";"28";"1";"United Kingdom";"South East (England)";"-";"-";"United Kingdom";"South East (England)";"-";"-"
"UKK";"1768";"28";"1";"United Kingdom";"South West (England)";"-";"-";"United Kingdom";"South West (England)";"-";"-"
"UKL";"1785";"28";"1";"United Kingdom";"Wales";"-";"-";"United Kingdom";"Wales";"-";"-"
"UKM";"1800";"28";"1";"United Kingdom";"Scotland";"-";"-";"United Kingdom";"Scotland";"-";"-"
